200 19900
1 2 1
1 3 4
1 4 4
1 5 3
1 6 3
1 7 5
1 8 1
1 9 4
1 10 2
1 11 1
1 12 3
1 13 5
1 14 4
1 15 4
1 16 4
1 17 4
1 18 3
1 19 1
1 20 5
1 21 3
1 22 3
1 23 2
1 24 1
1 25 5
1 26 4
1 27 4
1 28 3
1 29 5
1 30 3
1 31 3
1 32 3
1 33 2
1 34 1
1 35 3
1 36 5
1 37 1
1 38 5
1 39 5
1 40 2
1 41 4
1 42 1
1 43 4
1 44 4
1 45 2
1 46 1
1 47 5
1 48 3
1 49 5
1 50 4
1 51 4
1 52 4
1 53 1
1 54 2
1 55 3
1 56 3
1 57 1
1 58 3
1 59 1
1 60 4
1 61 4
1 62 5
1 63 4
1 64 2
1 65 5
1 66 3
1 67 2
1 68 5
1 69 2
1 70 1
1 71 3
1 72 4
1 73 1
1 74 3
1 75 1
1 76 4
1 77 3
1 78 2
1 79 2
1 80 3
1 81 4
1 82 5
1 83 3
1 84 1
1 85 5
1 86 4
1 87 4
1 88 1
1 89 2
1 90 4
1 91 5
1 92 3
1 93 5
1 94 5
1 95 2
1 96 5
1 97 2
1 98 2
1 99 4
1 100 4
1 101 1
1 102 5
1 103 1
1 104 5
1 105 1
1 106 4
1 107 4
1 108 4
1 109 4
1 110 3
1 111 4
1 112 2
1 113 4
1 114 3
1 115 3
1 116 3
1 117 3
1 118 1
1 119 1
1 120 2
1 121 1
1 122 3
1 123 4
1 124 4
1 125 3
1 126 5
1 127 3
1 128 1
1 129 4
1 130 3
1 131 4
1 132 3
1 133 3
1 134 1
1 135 3
1 136 4
1 137 2
1 138 4
1 139 1
1 140 2
1 141 3
1 142 5
1 143 2
1 144 2
1 145 3
1 146 5
1 147 5
1 148 1
1 149 2
1 150 5
1 151 1
1 152 5
1 153 2
1 154 5
1 155 2
1 156 3
1 157 4
1 158 1
1 159 3
1 160 3
1 161 4
1 162 5
1 163 4
1 164 3
1 165 3
1 166 3
1 167 5
1 168 2
1 169 1
1 170 2
1 171 1
1 172 1
1 173 1
1 174 4
1 175 4
1 176 4
1 177 3
1 178 4
1 179 1
1 180 5
1 181 3
1 182 5
1 183 1
1 184 3
1 185 4
1 186 3
1 187 3
1 188 1
1 189 2
1 190 2
1 191 2
1 192 4
1 193 4
1 194 4
1 195 2
1 196 5
1 197 1
1 198 2
1 199 1
1 200 2
2 3 5
2 4 2
2 5 5
2 6 3
2 7 4
2 8 3
2 9 2
2 10 4
2 11 5
2 12 2
2 13 4
2 14 2
2 15 4
2 16 4
2 17 3
2 18 4
2 19 2
2 20 1
2 21 1
2 22 3
2 23 5
2 24 1
2 25 3
2 26 4
2 27 2
2 28 4
2 29 2
2 30 5
2 31 3
2 32 3
2 33 1
2 34 3
2 35 5
2 36 1
2 37 4
2 38 3
2 39 4
2 40 4
