100 180
60 22 3
60 3 5
22 57 2
22 26 2
57 19 4
57 25 5
19 34 4
19 53 4
34 43 2
34 82 2
43 51 3
43 100 1
51 28 1
51 52 5
28 93 2
28 62 5
93 72 5
93 5 4
72 98 4
3 26 3
3 95 4
26 25 3
26 38 5
25 53 4
25 29 5
53 82 1
53 81 3
82 100 2
82 8 1
100 52 5
100 58 2
52 62 1
52 80 2
62 5 1
62 27 2
5 98 5
5 77 3
98 79 2
95 38 2
95 39 5
38 29 4
38 1 5
29 81 2
29 87 4
81 8 3
81 47 2
8 58 3
8 11 1
58 80 5
58 30 2
80 27 3
80 71 4
27 77 5
27 46 1
77 79 3
77 18 5
79 40 4
39 1 1
39 92 4
1 87 2
1 41 5
87 47 3
87 90 4
47 11 5
47 6 2
11 30 5
11 69 2
30 71 1
30 2 2
71 46 3
71 96 3
46 18 1
46 85 3
18 40 3
18 64 1
40 4 5
92 41 1
92 84 4
41 90 4
41 94 2
90 6 1
90 21 1
6 69 4
6 88 2
69 2 3
69 44 4
2 96 4
2 74 3
96 85 3
96 33 5
85 64 2
85 76 2
64 4 1
64 24 3
4 97 4
84 94 3
84 70 4
94 21 4
94 16 3
21 88 4
21 49 3
88 44 3
88 56 5
44 74 3
44 61 4
74 33 1
74 10 1
33 76 1
33 63 5
76 24 2
76 32 3
24 97 4
24 73 4
97 17 1
70 16 3
70 45 5
16 49 2
16 83 1
49 56 1
49 68 3
56 61 1
56 35 2
61 10 3
61 31 2
10 63 5
10 59 2
63 32 2
63 75 2
32 73 5
32 89 5
73 17 1
73 99 5
17 55 1
45 83 5
45 50 4
83 68 5
83 7 3
68 35 4
68 91 3
35 31 3
35 12 2
31 59 2
31 86 5
59 75 5
59 42 2
75 89 3
75 23 1
89 99 4
89 20 1
99 55 2
99 36 2
55 65 1
50 7 4
50 48 3
7 91 5
7 13 1
91 12 1
91 54 5
12 86 1
12 15 4
86 42 3
86 14 1
42 23 1
42 67 5
23 20 1
23 37 1
20 36 4
20 66 4
36 65 2
36 78 1
65 9 3
48 13 2
13 54 3
54 15 1
15 14 2
14 67 1
67 37 3
37 66 1
66 78 5
78 9 5
